Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
38,761 N VILLAGE CENTER DR,Jacksonville,32206,Jacksonville Housing Authority Apartments,27,2006,Brentwood Lakes Apartments,https://www.apartments.com/brentwood-lakes-apartments-jacksonville-fl/gb5z37x/,
39,7932 SOUTHSIDE BLVD,Jacksonville,32256,Jax Deerwood Apartments,27,1982,Park South at Deerwood,https://www.apartments.com/park-south-at-deerwood-jacksonville-fl/v0sznhd/,
40,8433 SOUTHSIDE BLVD,Jacksonville,32256,Jwc Naples 70 Apartments,27,1984,Antlers Apartments,https://www.liveantlers.com/,
41,3601 S KERNAN BLVD,Jacksonville,32224,Bds Iv Mirage On Kernan Apartments,26,1996,Mirage on Kernan,https://www.mirageonkernan.com/,
42,1701 LAKE SHORE BLVD,Jacksonville,32210,Oak Creek Apts,26,1980,Oak Tree Apartments,https://www.apartments.com/oak-tree-apartments-jacksonville-fl/v4pvn6f/,
43,445 MONUMENT RD,Jacksonville,32225,Spring Woods,26,1985,Park at Via Veneto,https://www.theparkatviaveneto.com/,
44,7595 W BAYMEADOWS CIR,Jacksonville,32256,St Johns Apartments,26,1989,Villas at St. Johns,https://www.villasatstjohns.com/,
45,5020 CLEVELAND RD,Jacksonville,32209,Vista Landing Preservation,26,1969,Vista Landing Apartments,https://www.apartments.com/vista-landing-apartments-jacksonville-fl/81wkpt1/,
46,3709 S SAN PABLO RD,Jacksonville,32224,Coquina Bay Apartments,25,1987,Coquina Bay,https://www.coquinabayapts.com/,
47,4301 CONFEDERATE POINT RD,Jacksonville,32210,Cedar River Apartments,25,1973,Cove at Peninsula,https://www.coveatpeninsulajax.com/,
48,9480 S PRINCETON SQUARE BLVD,Jacksonville,32256,Foothill Elliot Baymeadows,25,1986,Elliot Baymeadows,https://www.elliotbaymeadows.com/,
49,10101 ARROWHEAD DR,Jacksonville,32257,Jacksonville 5 Apartments,25,1975,The Point at Arrowhead,https://www.thepointatarrowhead.com/,
50,6750 RAMONA BLVD,Jacksonville,32205,Jacksonville Housing Authority Apartments,25,1973,Victory Pointe Apartments,https://www.apartments.com/victory-pointe-apartments-jacksonville-fl/9hnbsx6/,
51,13800 EGRETS NEST DR,Jacksonville,32258,Luxor Club Rental Community,25,2018,Luxor Club,https://www.luxorclub.com/,
52,1650 N MONCRIEF VILLAGE ST,Jacksonville,32209,The Weldon,25,1957,The Weldon,https://www.theweldon.com/,
53,11291 HARTS RD,Jacksonville,32218,Mst Canopy Creek,25,1975,The Element at River Pointe,https://www.canopycreekapts.com/,
54,2160 MAYPORT RD,Jacksonville,32233,Puckett Apartments,25,1988,The Cove at Atlantic Beach,https://www.apartments.com/the-cove-at-atlantic-beach-atlantic-beach-fl/9f7m2r4/,
55,4455 CONFEDERATE POINT RD,Jacksonville,32210,Shoreline Multifamily Apartments,25,1970,Sound at Peninsula,https://www.apartments.com/sound-at-peninsula-jacksonville-fl/h28c8z0/,
56,6355 MORSE AVE,Jacksonville,32244,Treetop Apartments,25,1979,Treetop Apartments,https://www.apartments.com/treetop-apartments-jacksonville-fl/y0mk50t/,
57,5327 TIMUQUANA RD,Jacksonville,32210,Villas at Ortega,25,1972,The Villas at Ortega,https://www.apartments.com/the-villas-at-ortega-jacksonville-fl/bq2484b/,
58,7411 LA VENTURA DR,Jacksonville,32210,Westgate Apartments,25,1980,Westgate Apartments,https://www.apartments.com/westgate-apartments-jacksonville-fl/yrh788v/,
