Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
175,8300 S OLD KINGS RD,Jacksonville,32217,Stonewood Gardens,15,1980,Stonewood Apartments,https://www.apartments.com/stonewood-apartments-jacksonville-fl/9r7dtt5/,
176,6371 COLLINS RD,Jacksonville,32244,The Kensley Acquisition Apartments,15,2004,The Kensley,https://thekensley.com/,
177,4263 LOSCO RD,Jacksonville,32257,Viera Acquisition Apartments,15,1984,The View at Mandarin,https://www.viewatmandarin.com/,
178,250 CHERRY RIDGE DR,Jacksonville,32222,Acp Palmetto Apartments,14,2013,Oakleaf Plantation Apartments,https://www.oakleafplantationapartments.com/,
179,8365 DIX ELLIS TRL,Jacksonville,32256,Avia Jax Liberty Ridge,14,1986,AVIA Lofts on Liberty Ridge,https://www.avialibertyridge.com/,
180,1920 DEAN RD,Jacksonville,32216,Birch Hill Apartments,14,1971,Glenwood Apartments,https://www.apartments.com/glenwood-apartments-jacksonville-fl/1d02m66/,
181,800 BROWARD RD,Jacksonville,32218,Broward Road Apartments,14,1971,The Marley at Trout River,https://www.apartments.com/the-marley-at-trout-river-jacksonville-fl/c64ev7g/,
182,13444 GRAN BAY PKWY,Jacksonville,32258,Bw Gran Bay,14,2015,Gran Bay Apartment Homes,https://www.granbayapartments.com/,
183,13401 S SUTTON PARK DR,Jacksonville,32224,Bw Registry Apartments,14,1999,Registry at Windsor Parke,https://www.registryatwindsorparke.com/,
184,3000 CORONET LN,Jacksonville,32207,Coronet Lane Apartments,14,1970,Laurel Pointe,https://www.apartments.com/laurel-pointe-jacksonville-fl/epce50m/,
185,8685 E BAYMEADOWS RD,Jacksonville,32256,Hacienda Club Rental Community,14,2013,Hacienda Club,https://www.haciendaclub.com/,
186,1261 N BROAD ST,Jacksonville,32202,Jacksonville Housing Authority Apartments,14,1977,Centennial Townhouses - West,https://www.apartments.com/centennial-townhouses-west-jacksonville-fl/w9q34pl/,
187,14701 BARTRAM PARK BLVD,Jacksonville,32258,Jwc Bartram Apartments,14,2009,Carlyle at Bartram Park,https://www.carlylebartrampark.com/,
188,1780 LEON RD,Jacksonville,32246,Leon Rd Apartments,14,1975,Leon Park,https://www.apartments.com/leon-park-jacksonville-fl/cp47pcf/,
189,7201 ARLINGTON EXPY,Jacksonville,32211,Les Chateaux Apartments,14,1968,Grand Oaks,https://www.apartments.com/grand-oaks-jacksonville-fl/s3bncc5/,
190,13990 BARTRAM PARK BLVD,Jacksonville,32258,Mahaffey Apartments,14,2018,Lakeline at Bartram Park,https://www.lakelineatbartrampark.com/,
191,1646 W 45TH ST,Jacksonville,32208,New Hope Homes Of Apartments,14,1967,New Hope Homes,https://www.apartments.com/new-hope-homes-apartments-jacksonville-fl/mxly2vl/,
192,500 ACME ST,Jacksonville,32211,Oak Hammock Apartments,14,1995,Oak Hammock Apartments,https://www.apartments.com/oak-hammock-apartments-jacksonville-fl/y4dwzjt/,
193,7777 NORMANDY BLVD,Jacksonville,32221,Oaks at Normandy Acquisition,14,2007,Oaks at Normandy,https://oaksatnormandyjax.com/,
194,7528 ARLINGTON EXPY,Jacksonville,32211,Oaks at Red Bay,14,1972,Red Bay Apartment Complex,https://www.redbayapartments.com/,
195,7557 ARLINGTON EXPY,Jacksonville,32211,Rasc Apartments,14,1969,Renaissance at Strawberry Creek,https://www.apartments.com/renaissance-at-strawberry-creek-apartments-jacksonville-fl/hb236b3/,
196,12900 BROXTON BAY DR,Jacksonville,32218,Rcm Acquisition Apartments,14,2017,Broxton Bay Apartments,https://broxtonbay.com/,
197,2790 ST JOHNS AVE,Jacksonville,32205,Riviera Park,14,1939,Riviera Park,https://www.rpjax.com/,
198,8401 SOUTHSIDE BLVD,Jacksonville,32256,Sage Apartments,14,1984,The Park at Trapani,https://www.theparkattrapani.com/,
199,6535 CHESTER AVE,Jacksonville,32217,Samuel C Taylor Foundation Apartments,14,1983,Taylor Care Center,https://www.taylor-residences.org/,
200,6090 TERRY RD,Jacksonville,32216,Sm-Summer Glen Apartments,14,1987,Summer Glen Apartments,https://www.summerglenapartments.com/,
201,8500 ARGYLE BUSINESS LOOP BLVD,Jacksonville,32244,Lindsey Terrace Apartments,14,2001,Lindsey Terrace Apartments,https://www.lindseyterrace.com/,
202,5551 AUBURN RD,Jacksonville,32207,Village at San Jose,14,1948,The Village at San Jose Apartments,https://www.apartments.com/the-village-at-san-jose-apartments-jacksonville-fl/t4xx25b/,
203,13700 N SUTTON PARK DR,Jacksonville,32224,Vr Links Holdings Limited Apartments,14,1994,Links at Windsor Parke,https://www.apartments.com/links-at-windsor-parke-jacksonville-fl/82hknk0/,
204,8451 W GATE PKWY,Jacksonville,32216,Bcore Mf Citigate Apartments,13,2009,Citigate Apartments,https://www.citigatejax.com/,
205,2445 DUNN AVE,Jacksonville,32218,Bds Iv Fl Northlake Apartments,13,1989,Northlake Apartments,https://www.nhnorthlake.com/,
206,7635 TIMBERLIN PARK BLVD,Jacksonville,32256,Br Timberlin Park,13,2001,Avenue at Timberlin Park,https://www.avenuetimberlinpark.com/,
207,2114 KINGS PARK DR,Jacksonville,32209,Cascade Residential Apartments,13,1965,Cascade Apartments,https://www.affordablehousing.com/jacksonville-fl/cascade-apartments-548309/,
208,9541 103RD ST,Jacksonville,32210,Finley Apartments,13,2008,The Finley,https://www.apartments.com/the-finley-jacksonville-fl/c2f62ge/,
209,8050 103RD ST,Jacksonville,32210,Jackson 103 Apartments,13,1970,Jacksonville Heights Apartments Homes,https://www.jacksonvilleheightsapts.com/,
210,11815 ALDEN RD,Jacksonville,32246,Jacksonville Housing Authority Apartments,13,1986,Carrington Place Apartments,https://www.apartments.com/carrington-place-apartments-jacksonville-fl/7q38n6w/,
211,2800 N UNIVERSITY BLVD,Jacksonville,32211,Jacksonville University Apartments,13,1964,Jacksonville University Housing,https://www.ju.edu/residentiallife/housing/,
212,6500 LAKE GRAY BLVD,Jacksonville,32244,Landings,13,2005,Landings at Lake Gray,https://www.landingsatlakegray.com/,
213,10263 WHISPERING FOREST DR,Jacksonville,32257,Merion Timberwalk Apartments,13,1987,Timberwalk at Mandarin,https://www.timberwalkatmandarin.com/,
214,4925 COLLINS RD,Jacksonville,32244,Orange Park Exchange Apartments,13,2022,Exchange at Orange Park,https://www.exchangeorangepark.com/,
215,10621 MONACO DR,Jacksonville,32218,Park at River City,13,1967,The Park at River City,https://www.apartments.com/the-park-at-river-city-jacksonville-fl/0e4jp62/,
216,7500 POWERS AVE,Jacksonville,32217,Pinebrook 7500 Apartments,13,1974,Pinebrook Apartment Homes,https://www.mybellaproperty.com/pinebrook-apartments,
217,14951 WALDEN SPRINGS WAY,Jacksonville,32258,Reserve at Bartram Springs Apartments,13,2006,Reserve Bartram Springs,https://www.reservebartramsprings.com/,
218,1462 SOLERA TER,Jacksonville,32211,Richbuilt Group Of Apartments,13,2020,The Solera at Kendall West,https://www.liveatsolera.com/,
219,7820 E BAYMEADOWS RD,Jacksonville,32256,Rre Courtney Meadows,13,2001,Courtney Meadows,https://liveatcourtneymeadows.com/,
220,8715 BELLE RIVE BLVD,Jacksonville,32256,S2 Belle Rive Club,13,1990,Vista Bay,https://www.livevistabay.com/,
221,900 PLAZA,Atlantic Beach,32233,Sea Oats Acquisition Apartments,13,1974,Sea Oats Apartments,https://seaoatsapartmenthomes.com/,
222,9801 OLD BAYMEADOWS RD,Jacksonville,32256,Southside Commons Realty,13,1972,Southside Commons,https://southsidefl.com/,
223,4320 SUNBEAM RD,Jacksonville,32257,Sreit Leigh Meadows Apartments,13,1997,Leigh Meadows Apartments,https://www.apartments.com/leigh-meadows-apartments-jacksonville-fl/wv3f4zj/,
224,26 E 59TH ST,Jacksonville,32208,St Main Street Apartments,13,1944,Steven Apartments,https://www.apartments.com/steven-apartments-jacksonville-fl/wghpx0h/,
225,3050 TAMAYA BLVD,Jacksonville,32246,Tamaya Apartments,13,2017,The Point at Tamaya,https://www.thepointattamaya.com/,
226,3800 S UNIVERSITY BLVD,Jacksonville,32216,Uc Alux Holder Apartments,13,1972,La Esperanza,https://www.apartmentguide.com/apartments/Florida/Jacksonville/La-Esperanza/46936/,
227,7960 103RD ST,Jacksonville,32210,Westcreek Apartments,13,1985,Westcreek Apartments,https://www.apartments.com/westcreek-apartments-jacksonville-fl/wxxqkgl/,
228,7855 WILSON BLVD,Jacksonville,32210,Wilson West Preservation Apartments,13,1983,Wilson West Apartments,https://www.apartments.com/wilson-west-apartments-jacksonville-fl/q132nqy/,
229,3539 BEACH BLVD,Jacksonville,32207,Ability Mayfair Apartments,12,1956,Mayfair Village Apartments,https://www.mayfairvillageapts.org/,
230,8151 ALDERMAN RD,Jacksonville,32211,Azalea Ridge,12,1973,Azalea Ridge,https://www.apartments.com/azalea-ridge-jacksonville-fl/hb7kd21/,
231,510 DUVAL CIRCLE ST,Baldwin,32234,Baldwin Groves Apts,12,1980,Baldwin Grove,https://www.apartments.com/baldwin-grove-baldwin-fl/lrtpfpg/,
232,1385 BROOKWOOD FOREST BLVD,Jacksonville,32225,Brookwood Apartments,12,1987,Brookwood Club Apartments,https://rent.brookfieldproperties.com/property/brookwood-club/,
233,8540 HOMEPLACE DR,Jacksonville,32256,Ca Spyglass Apartments,12,2015,Spyglass,https://www.spyglassjax.com/,
234,14050 INTEGRA DR,Jacksonville,32218,Ebsco Integra River Run Apartments,12,2017,Integra River Run,https://aventonsoraya.com/,
235,7633 HARE AVE,Jacksonville,32211,Gsj Apartments,12,1956,Golden Shores of Jacksonville,https://www.gsjapartments.com/,
236,2553 SR A1A,Jacksonville,32233,Heron Point Apartments,12,1986,Heron Pointe,https://www.morgan-properties.com/apartments/fl/jacksonville/heron-pointe/,
237,380 BURBANK AVE,Jacksonville,32081,Hg Cadence Apartments,12,2021,Cadence at Nocatee,https://www.apartmentguide.com/a/Cadence-At-Nocatee-Ponte-Vedra-Beach-FL-5910297/,
238,3239 JUSTINA RD,Jacksonville,32277,Infinity University Townhomes Apartments,12,1966,University Townhomes,https://www.infinitybh.com/university-townhomes,
239,9500 103RD ST,Jacksonville,32210,Jacksonville Housing Authority Apartments,12,1981,Colonial Village Apartments,https://www.apartments.com/colonial-village-apartments-jacksonville-fl/mr3k0vh/,
240,13163 RANCH RD,Jacksonville,32218,Jax North Apartments,12,2022,Aventon Soraya,https://aventonsoraya.com/,
241,10275 OLD ST AUGUSTINE RD,Jacksonville,32257,Mid America Apartments,12,1985,MAA Mandarin North,https://www.maac.com/florida/jacksonville/maa-mandarin-north/,
242,3900 OLDFIELD CROSSING DR,Jacksonville,32223,Mid America Apartments,12,1997,MAA Belmont,https://www.maac.com/florida/jacksonville/maa-belmont/,
243,1706 ART MUSEUM DR,Jacksonville,32207,Midtown Oaks Apts,12,1974,Marco Meadows,https://marcomeadows.com/,
244,3102 TALL PINE LN,Jacksonville,32277,Miramar Residences Tic,12,1973,Greenbriar Apartments,https://www.apartments.com/greenbriar-apartments-jacksonville-fl/,
245,1025 ASSISI LN,Jacksonville,32233,Otter Run Apartments,12,1989,Otter Run Apartments,https://otterrun.org/,
246,9800 E TOUCHTON RD,Jacksonville,32246,Property Reserve Apartments,12,1997,54 Magnolia,https://www.54magnoliajax.com/,
247,2943 SPRING PARK RD,Jacksonville,32207,San Mar Apartments,12,1972,The Sterling at San Marco,https://www.sterlingatsanmarco.com/,
248,7211 CRANE AVE,Jacksonville,32216,Silversmith Cgc Apartments,12,1971,Silversmith Creek Apartments,https://www.silversmithcreek.com/,
249,3875 S SAN PABLO RD,Jacksonville,32224,Sreit Spinnaker Reach Apartments,12,1996,Spinnaker Reach Apartments,https://www.apartmentguide.com/a/Spinnaker-Reach-Apartments-Jacksonville-FL-6149091/,
250,6505 COLLINS RD,Jacksonville,32244,Tapestry Westland Village Poe,12,2020,Tapestry Westland Village,https://www.tapestrywestlandvillage.com/,
251,6701 CHESTER AVE,Jacksonville,32217,Taylor Fannie E Home For the Aged of & S Apartments,12,1980,Taylor Apartments,https://www.seniorhousingnet.com/seniorliving-detail/taylor-apartments,
252,5601 EDENFIELD RD,Jacksonville,32277,Vestcor Fund Xx Apartments,12,2003,Gregory Cove Apartments,https://www.gregorycovefl.com/,
253,3544 S ST JOHNS BLUFF RD,Jacksonville,32224,3544 St Johns Bluff Road South Apartments,11,2000,The Edge at Town Center,https://www.edgeattowncenter.com/,
254,6970 WILEY RD,Jacksonville,32210,Ability Wiley Apartments,11,2015,Village on Wiley,https://www.villageonwiley.org/,
255,6680 BENNETT CREEK DR,Jacksonville,32216,Bowden Road Housing Apartments,11,2011,Bennett Creek Apartments,https://www.bennettcreekapts.com/,
256,2610 SR A1A,Jacksonville,32233,Bw Mayport Apartments,11,1986,33 East Apartments,https://www.33eastapts.com/,
257,5258 COLLINS PRESERVE RD,Jacksonville,32244,Cpr/Republic Collins Preserve Apartments,11,2023,Collins Preserve,https://www.collinspreserve.com/,
258,8680 E BAYMEADOWS RD,Jacksonville,32256,Galleria Club Rental Community,11,2015,Cabana Club / Galleria Club,https://www.cabanaclub.com/,
259,104 KING ST,Jacksonville,32204,Hollybrook Homes Apartments,11,1971,Hollybrook Homes Apartments,https://www.apartments.com/hollybrook-homes-apartments-jacksonville-fl/ykesflr/,
260,3730 DUPONT AVE,Jacksonville,32217,Homestead San Jose Mf Apartments,11,2024,The Maggie Flats,https://www.livemaggiejax.com/,
261,1570 S LANE AVE,Jacksonville,32210,Jacksonville at Cielo Apartments,11,1974,The Grove on Lane,https://www.thegroveonlane.com/,
262,8876 A C SKINNER PKWY,Jacksonville,32256,Jtb Ac Skinner Apartments,11,2019,JTB Apartments,https://www.liveatjtb.com/,
263,3050 E OLD RIVER RD,Jacksonville,32223,Le Montage Apartments,11,2020,Le Montage Luxury Rental Apartments,https://www.apartments.com/le-montage-luxury-rental-apartments-jacksonville-fl/wnz3egl/,
264,1850 HELEN DR,Jacksonville,32210,Normandy Jacksonville Apartments,11,1974,Normandy Apartments,https://www.trulia.com/building/normandy-apartments-8441-helen-ter-jacksonville-fl-32210-1008619188,
265,11750 ALDEN RD,Jacksonville,32246,Pine Barrens Gardens,11,1987,Pine Barrens Apartments,https://www.apartments.com/pine-barrens-jacksonville-fl/30mxwge/,
266,4734 RADCLIFF CT,Jacksonville,32217,Shucom Rcf Apartments,11,1984,Radcliff Court Apartments,https://radcliffcourtapartments.com/,
267,5565 CONNIE JEAN RD,Jacksonville,32222,Sm Southwest Villas,11,1981,Southwest Villas,https://www.apartments.com/southwest-villas-jacksonville-fl/bzn418b/,
268,5675 BARNHILL DR,Jacksonville,32207,Three Fountains Apartments,11,1966,Three Fountains,https://www.apartments.com/three-fountains-jacksonville-fl/fec7n6v/,
269,7740 PLANTATION BAY DR,Jacksonville,32244,Vintage Plantation Apartments,11,2001,Vintage at Plantation Bay,https://www.apartments.com/vintage-at-plantation-bay-jacksonville-fl/21167xb/,
270,4435 E TOUCHTON RD,Jacksonville,32246,Eddison at Deerwood Park,10,2001,Eddison at Deerwood Park,https://www.apartments.com/eddison-at-deerwood-park-jacksonville-fl/g5hql5y/,
271,91 W 11TH ST,Atlantic Beach,32233,Empirian Driftwood Apartments,10,1985,Driftwood Apartments,https://www.apartments.com/driftwood-atlantic-beach-fl/l1ntmsg/,
272,12802 E HAVERFORD RD,Jacksonville,32218,Fci Fl4 Apartments,10,1975,River City Place,https://www.rivercityjacksonville.com/,
273,1913 ART MUSEUM DR,Jacksonville,32207,Fort Landon Apartments,10,1969,Landon Imperial Apartments,https://www.apartments.com/landon-imperial-apartments-jacksonville-fl/e6grrkn/,
274,110 HIGGINBOTHAM ST,Baldwin,32234,Hallmark Baldwin Village,10,1984,Baldwin Village Apartments,https://www.apartments.com/baldwin-village-apartments-baldwin-fl/k2s9qxb/,
275,65 W 5TH ST,Atlantic Beach,32233,Heritage V Apartments,10,2001,,,
276,955 N LIBERTY ST,Jacksonville,32206,Jacksonville Housing Authority Apartments,10,1977,Centennial Townhomes East,https://www.apartments.com/centennial-townhomes-east-jacksonville-fl/4tznj0h/,
277,1601 DUNN AVE,Jacksonville,32218,Jax 174 Apartments,10,1975,Avenue 1601,https://www.apartments.com/avenue-1601-jacksonville-fl/d9y805j/,
278,5601 CALIFORNIA AVE,Jacksonville,32244,Jjta18 Real Apartments,10,1987,Westcreek II,https://www.apartments.com/westcreek-ii-jacksonville-fl/8nzp6t0/,
279,6595 SAN JUAN AVE,Jacksonville,32210,Kabana Cove Equity,10,1974,Kabana Cove,https://www.apartments.com/kabana-cove-jacksonville-fl/bg9vg19/,
280,9047 SAN JOSE BLVD,Jacksonville,32257,Lighthouse Apartments,10,1972,Mandarin Bay Apartments,https://www.apartments.com/mandarin-bay-apartments-jacksonville-fl/39fw3bg/,
281,10505 103RD ST,Jacksonville,32210,Magnolia Villas,10,2025,Magnolia Villas at Jacksonville,https://floridayimby.com/2024/09/developers-plan-100-unit-magnolia-villas-at-jacksonville-for-10505-103rd-st-jacksonville-fl.html,
282,11648 PINE ACRES RD,Jacksonville,32223,Mandarin Arms Associates Limited Apartments,10,1980,Mandarin Arms,https://www.apartments.com/mandarin-arms-jacksonville-fl/sp4wvr5/,
283,13100 BROXTON BAY DR,Jacksonville,32218,Mirador Apartments,10,2007,Mirador & Stovall at River City,https://www.apartments.com/mirador-stovall-at-river-city-jacksonville-fl/f6q33yr/,
284,12633 MILLEDGE AVE,Jacksonville,32218,Novo Northlake,10,2025,Novo Northlake,https://www.jaxdailyrecord.com/news/2024/feb/29/development-today-respiratory-care-sleep-medicine-relocating-to-1443-san-marco-blvd/,Medium
285,6870 103RD ST,Jacksonville,32210,Pt Jax Apts,10,1986,Palm Trace Apartments,https://www.apartments.com/palm-trace-jacksonville-fl/r2c75x0/,
286,4800 ATLANTIC BLVD,Jacksonville,32207,Red Raider 45 Apartments,10,1963,Oasis at San Marco,https://www.apartments.com/oasis-at-san-marco-jacksonville-fl/nfx4gtm/,
287,6727 WOLFPACK WAY,Jacksonville,32217,Rosengarten Family Apartments,10,1974,Wolfpack Way Condos,https://www.redfin.com/FL/Jacksonville/6727-Wolfpack-Way-32217/home/108823854,Low
288,3451 SALAND WAY,Jacksonville,32246,Saland Way Apartments,10,2005,Pine Meadows Apartments,https://www.apartments.com/pine-meadows-apartments-jacksonville-fl/vq3y1wg/,
289,3210 DISCOVERY WAY,Jacksonville,32224,Sm Florida Associates Two Limited Apartments,10,1988,Beach Bluff Apartments,https://www.apartments.com/beach-bluff-apartments-jacksonville-fl/qgqcczy/,
290,7610 BLANDING BLVD,Jacksonville,32244,Sreit Grande Court,10,2002,Grande Court Apartments,https://www.apartments.com/grande-court-apartments-jacksonville-fl/6xetlnr/,
291,4901 SUNBEAM RD,Jacksonville,32257,Sreit Thomas Chase Apartments,10,2004,Thomas Chase Apartments,https://www.apartments.com/thomas-chase-apartments-jacksonville-fl/9d201b4/,
292,13000 BROXTON BAY DR,Jacksonville,32218,Stovall Apartments,10,2009,Mirador & Stovall at River City,https://www.miradorstovallrivercity.com/,
293,3900 OLD SUNBEAM RD,Jacksonville,32257,Sunbeam Apartments,10,1978,JaxBay Apartments,https://www.xfinity.com/communities/fl/jacksonville/3900-old-sunbeam-road,Medium
294,5000 KERNAN BLVD,Jacksonville,32224,Town Center Apartments East,10,2020,Drift at Town Center East,https://www.apartments.com/drift-at-town-center-east-apartments-jacksonville-fl/hyl9f02/,
295,4910 SAMARITAN WAY,Jacksonville,32210,Westlake Properties Kp6,10,2024,Novo Westlake,https://www.apartments.com/novo-westlake-jacksonville-fl/8g0blg0/,High
296,10350 103RD ST,Jacksonville,32210,Accel Apartments,9,2024,Pointe Grand Jacksonville West,https://www.apartments.com/pointe-grand-jacksonville-west-jacksonville-fl/jx9rt66/,High
297,13490 GRAN BAY PY,Jacksonville,32258,Alaqua Rental Community Apartments,9,2016,Alaqua,https://www.alaquajax.com/,
298,9849 CROSSHILL BLVD,Jacksonville,32222,Argyle Lake at Oakleaf Town Center,9,2020,Argyle Lake at Oakleaf Town Center,https://www.apartments.com/argyle-lake-at-oakleaf-town-center-jacksonville-fl/e4h1yzq/,
299,7311 BAYMEADOWS WAY,Jacksonville,32256,Baymeadows,9,2025,RISE Baymeadows,https://www.apartments.com/rise-baymeadows-jacksonville-fl/0rlnwe1/,High
300,9701 OLD BAYMEADOWS RD,Jacksonville,32256,Baytree On Baymeadows,9,1975,Baytree Apartments,https://www.apartments.com/baytree-apartments-jacksonville-fl/0szrs82/,
301,900 BERT RD,Jacksonville,32211,Catalina Residences Tic,9,1967,Catalina Apartments,https://www.apartments.com/catalina-jacksonville-fl/fyrx47s/,
302,989 MONUMENT RD,Jacksonville,32225,Colonnade Apartments,9,2002,Colonnade at Regency,https://www.apartments.com/colonnade-at-regency-jacksonville-fl/2fqhtk8/,
303,12585 FLAGLER CENTER BLVD,Jacksonville,32258,Continental 495 Fund Apartments,9,2021,Springs at Flagler Center,https://www.apartments.com/springs-at-flagler-center-jacksonville-fl/zyt4chz/,
304,10880 ANGEL FISH WAY,Jacksonville,32256,Dfi Arelia Apartments,9,2009,Arelia James Island,https://www.areliajamesislandaptsfl.com/,
305,14200 DUVAL RD,Jacksonville,32218,Duval Mf Apartments,9,2022,The Avery at Rivercity Market Place,https://www.apartments.com/avery-jacksonville-fl/7sfvp1x/,
306,7101 WILSON BLVD,Jacksonville,32210,Edens Edge Acquisition Apartments,9,2007,Eden's Edge,https://www.apartments.com/edens-edge-apartments-jacksonville-fl/0lf92b0/,
307,1135 BERT RD,Jacksonville,32211,Fci Fl3 Apartments,9,1968,Tree Hill Apartments,https://www.apartments.com/tree-hill-apartments-townhomes-jacksonville-fl/zftnkxw/,
308,7237 CORKLAN DR,Jacksonville,32258,Fountainhead Apartments,9,2022,Fountainhead,https://www.apartments.com/fountainhead-apartments-jacksonville-fl/v498rgg/,
309,3285 N UNIVERSITY BLVD,Jacksonville,32277,Green Phin Flats Apartments,9,1966,Green Phin Flats,https://www.apartments.com/green-phin-flats-jacksonville-fl/416fjjh/,
310,8859 S OLD KINGS RD,Jacksonville,32257,Jacksonville Waterstone Apartments,9,2000,Indigo Isles,https://www.apartments.com/indigo-isles-jacksonville-fl/4pc2pll/,
311,4646 MONCRIEF RD,Jacksonville,32209,Jax Fund 6 Apartments,9,1963,Palm Terrace,https://www.apartments.com/palm-terrace-jacksonville-fl/r6dm091/,
312,1300 SHETTER AVE,Jacksonville Beach,32250,Kre B House Apartments,9,2009,The Beach House,https://www.apartments.com/the-beach-house-jacksonville-beach-fl/x7rz9rm/,
313,4950 RICHARD ST,Jacksonville,32207,Lions Head Apartments,9,1973,Lions Head Apartments,https://www.apartments.com/lions-head-apartments-jacksonville-fl/hwhedz1/,
314,2900 SR A1A,Jacksonville,32233,Mallard Cove,9,1987,Mallard Cove Apartments,https://www.apartments.com/mallard-cove-apartments-atlantic-beach-fl/2y806pc/,
315,2900 CORONET LN,Jacksonville,32207,Manchester Apartments,9,1985,Manchester,https://www.apartments.com/manchester-jacksonville-fl/q2d3pfx/,
316,1319 LACLEDE AVE,Jacksonville,32205,Mirabella Development Apartments,9,1966,,,
317,4060 BARNES RD,Jacksonville,32207,Mw S&L Apartments,9,1960,Prospect Heights Apartments,https://www.apartments.com/southwood-jacksonville-fl/bh4qzxc/,
318,2601 N UNIVERSITY BLVD,Jacksonville,32211,N University Apartments,9,1968,The Lakeside Nest,https://www.thelakesidenest.com/,
319,1085 ATLANTIC BLVD,Atlantic Beach,32233,Ncm Apartments,9,1972,Seaside Apartments,https://www.apartments.com/seaside-apartments-atlantic-beach-fl/rrdzv71/,
320,4235 MARSH LANDING BLVD,Jacksonville Beach,32250,Ocean Park,9,1998,Ocean Park,https://www.oceanparkjax.com/,
321,6650 103RD ST,Jacksonville,32210,Palazzo Nm Apartments,9,1990,Palazzo Townhomes,https://www.apartments.com/palazzo-townhomes-jacksonville-fl/5lyzc9p/,
322,2800 SOPHIA ST,Jacksonville,32254,Sah Hscv Apartments,9,1971,Huron-Sophia Apartments,https://www.apartments.com/huron-sophia-apartments-jacksonville-fl/l6kcgwe/,
323,3650 SAN PABLO PKWY,Jacksonville,32224,San Pablo I Mf Apartments,9,2023,,,
324,5262 TIMUQUANA RD,Jacksonville,32210,Sll Properrties Apartments,9,1984,Vintage Grove Apartments,https://www.apartments.com/vintage-grove-apartments-jacksonville-fl/6snzwzr/,
325,11830 BUCKFIELD CIR,Jacksonville,32256,Stillwood Apartments,9,2024,Woodside at Seven Pines,https://www.apartments.com/woodside-at-seven-pines-jacksonville-fl/psyzybt/,
326,2930 STONEMONT ST,Jacksonville,32207,Stonemont Apartments,9,1974,Stonemont Village,https://www.apartments.com/stonemont-village-jacksonville-fl/5zr9lkn/,
327,3857 PRITMORE RD,Jacksonville,32257,Sunbeam Apartments,9,1980,JaxBay Apartments,https://www.apartments.com/jaxbay-apartments-jacksonville-fl/g6dfhxz/,
328,345 BURBANK AVE,Jacksonville,32081,Ttres Fl Ponte Vedra Beach Apartments,9,2025,Velara Luxury Apartments,https://www.apartments.com/velara-luxury-apartments-ponte-vedra-beach-fl/25q8q69/,High
329,8181 A C SKINNER PKWY,Jacksonville,32256,A C Apartments,8,2023,Presidium Park,https://www.apartments.com/presidium-park-jacksonville-fl/zvgqxmy/,
330,7738 A C SKINNER PKWY,Jacksonville,32256,A C Apartments,8,2021,Olympus Preserve at Town Center,https://www.apartments.com/olympus-preserve-at-town-center-jacksonville-fl/nffry6m/,
331,12525 TIBBETS LN,Jacksonville,32218,Avion Mf Apartments,8,2024,Avion Apartments,https://www.apartments.com/avion-apartments-jacksonville-fl/7mrh3xx/,
332,6916 S OLD KINGS RD,Jacksonville,32217,Babaji Shivram Usa Re Apartments,8,1964,Cobblestone Corners,https://www.apartments.com/cobblestone-corners-jacksonville-fl/zvtfe0y/,High
333,7750 BELFORT PKWY,Jacksonville,32256,Belfort Pkwy Apartments,8,2013,Canopy at Belfort Park,https://www.apartments.com/canopy-at-belfort-park-jacksonville-fl/th1bw88/,
334,1382 BROOKWOOD FOREST BLVD,Jacksonville,32225,Brookwood Apartments,8,1987,Brookwood Club,https://www.apartments.com/brookwood-club-jacksonville-fl/ldmzc3e/,
335,4813 MONCRIEF RD,Jacksonville,32208,Cypress Landing Apts,8,1967,Cypress Landing,https://www.apartments.com/cypress-landing-jacksonville-fl/hnbq132/,
336,5116 GATE PKWY,Jacksonville,32256,Gate Parkway,8,2017,The Point at Town Center,https://www.apartments.com/5116-gate-pkwy-n-jacksonville-fl-unit-5104/nse740m/,
337,3909 SUNBEAM RD,Jacksonville,32257,Home Rental Apartments,8,1986,Mandarin Lanai,https://www.apartments.com/mandarin-lanai-jacksonville-fl/3rn050g/,High
338,2401 JAMMES RD,Jacksonville,32210,Infinity Magnolia Apartments,8,1973,Morning Side Apartments,https://www.apartments.com/infinity-magnolia-2-llc-morning-side-apartments-jacksonville-fl/tfxzqhc/,
339,10825 KEY HAVEN BLVD,Jacksonville,32218,Jax1 Mc Apartments,8,1988,Haven at Parkside,https://www.apartments.com/haven-at-parkside-jacksonville-fl/5yzf70m/,
340,2768 SR A1A,Jacksonville,32233,Jax3 Mc Apartments,8,1986,Tidewater at Atlantic Beach,https://www.apartments.com/tidewater-at-atlantic-beach-apartment-homes-atlantic-beach-fl/3q8rtxe/,
341,5641 CALIFORNIA AVE,Jacksonville,32244,Jjta15 Real Apartments,8,1986,Grassy Pond,https://www.apartments.com/grassy-pond-jacksonville-fl/b7tst58/,
342,7225 CRANE AVE,Jacksonville,32216,Jjta3 Real Apartments,8,1984,Villas at Woodlands,https://www.apartments.com/villas-at-woodlands-jacksonville-fl/ffw0t2r/,
